2018-02-28T13:46:46.596+0800 I CONTROL  [initandlisten] MongoDB starting : pid=29077 port=27006 dbpath=/usr/local/mongo-cluster-sharding/shards/node6/data/db 64-bit host=kieren.local
2018-02-28T13:46:46.597+0800 I CONTROL  [initandlisten] db version v3.4.7
2018-02-28T13:46:46.597+0800 I CONTROL  [initandlisten] git version: cf38c1b8a0a8dca4a11737581beafef4fe120bcd
2018-02-28T13:46:46.597+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 0.9.8zg 14 July 2015
2018-02-28T13:46:46.597+0800 I CONTROL  [initandlisten] allocator: system
2018-02-28T13:46:46.597+0800 I CONTROL  [initandlisten] modules: none
2018-02-28T13:46:46.597+0800 I CONTROL  [initandlisten] build environment:
2018-02-28T13:46:46.597+0800 I CONTROL  [initandlisten]     distarch: x86_64
2018-02-28T13:46:46.597+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2018-02-28T13:46:46.597+0800 I CONTROL  [initandlisten] options: { config: "node6/mongodb.conf", net: { bindIp: "127.0.0.1", port: 27006 }, processManagement: { fork: true }, replication: { replSet: "set1" }, storage: { dbPath: "/usr/local/mongo-cluster-sharding/shards/node6/data/db" }, systemLog: { destination: "file", logAppend: true, path: "/usr/local/mongo-cluster-sharding/shards/node6/log/mongodb.log" } }
2018-02-28T13:46:46.598+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3584M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2018-02-28T13:46:48.463+0800 I CONTROL  [initandlisten] 
2018-02-28T13:46:48.463+0800 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2018-02-28T13:46:48.463+0800 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2018-02-28T13:46:48.463+0800 I CONTROL  [initandlisten] 
2018-02-28T13:46:48.463+0800 I CONTROL  [initandlisten] 
2018-02-28T13:46:48.463+0800 I CONTROL  [initandlisten] ** WARNING: soft rlimits too low. Number of files is 256, should be at least 1000
2018-02-28T13:46:49.185+0800 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/usr/local/mongo-cluster-sharding/shards/node6/data/db/diagnostic.data'
2018-02-28T13:46:49.335+0800 I REPL     [initandlisten] Did not find local voted for document at startup.
2018-02-28T13:46:49.335+0800 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument: Did not find replica set configuration document in local.system.replset
2018-02-28T13:46:49.335+0800 I NETWORK  [thread1] waiting for connections on port 27006
2018-02-28T14:01:37.707+0800 I CONTROL  [main] ***** SERVER RESTARTED *****
2018-02-28T14:01:37.730+0800 I CONTROL  [initandlisten] MongoDB starting : pid=29952 port=27006 dbpath=/usr/local/mongo-cluster-sharding/shards/node6/data/db 64-bit host=kieren.local
2018-02-28T14:01:37.730+0800 I CONTROL  [initandlisten] db version v3.4.7
2018-02-28T14:01:37.730+0800 I CONTROL  [initandlisten] git version: cf38c1b8a0a8dca4a11737581beafef4fe120bcd
2018-02-28T14:01:37.730+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 0.9.8zg 14 July 2015
2018-02-28T14:01:37.730+0800 I CONTROL  [initandlisten] allocator: system
2018-02-28T14:01:37.730+0800 I CONTROL  [initandlisten] modules: none
2018-02-28T14:01:37.730+0800 I CONTROL  [initandlisten] build environment:
2018-02-28T14:01:37.730+0800 I CONTROL  [initandlisten]     distarch: x86_64
2018-02-28T14:01:37.730+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2018-02-28T14:01:37.730+0800 I CONTROL  [initandlisten] options: { config: "node6/mongodb.conf", net: { bindIp: "127.0.0.1", port: 27006 }, processManagement: { fork: true }, replication: { replSet: "set2" }, storage: { dbPath: "/usr/local/mongo-cluster-sharding/shards/node6/data/db" }, systemLog: { destination: "file", logAppend: true, path: "/usr/local/mongo-cluster-sharding/shards/node6/log/mongodb.log" } }
2018-02-28T14:01:37.730+0800 W -        [initandlisten] Detected unclean shutdown - /usr/local/mongo-cluster-sharding/shards/node6/data/db/mongod.lock is not empty.
2018-02-28T14:01:37.731+0800 I -        [initandlisten] Detected data files in /usr/local/mongo-cluster-sharding/shards/node6/data/db created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2018-02-28T14:01:37.731+0800 W STORAGE  [initandlisten] Recovering data from the last clean checkpoint.
2018-02-28T14:01:37.731+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3584M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2018-02-28T14:01:38.870+0800 I CONTROL  [initandlisten] 
2018-02-28T14:01:38.870+0800 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2018-02-28T14:01:38.871+0800 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2018-02-28T14:01:38.871+0800 I CONTROL  [initandlisten] 
2018-02-28T14:01:38.871+0800 I CONTROL  [initandlisten] 
2018-02-28T14:01:38.871+0800 I CONTROL  [initandlisten] ** WARNING: soft rlimits too low. Number of files is 256, should be at least 1000
2018-02-28T14:01:38.915+0800 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/usr/local/mongo-cluster-sharding/shards/node6/data/db/diagnostic.data'
2018-02-28T14:01:38.916+0800 I REPL     [initandlisten] Did not find local voted for document at startup.
2018-02-28T14:01:38.916+0800 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument: Did not find replica set configuration document in local.system.replset
2018-02-28T14:01:38.916+0800 I NETWORK  [thread1] waiting for connections on port 27006
2018-02-28T14:01:39.012+0800 I FTDC     [ftdc] Unclean full-time diagnostic data capture shutdown detected, found interim file, some metrics may have been lost. OK
2018-02-28T14:04:47.205+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64692 #1 (1 connection now open)
2018-02-28T14:04:47.206+0800 I -        [conn1] end connection 127.0.0.1:64692 (1 connection now open)
2018-02-28T14:04:47.207+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64694 #2 (1 connection now open)
2018-02-28T14:04:47.207+0800 I NETWORK  [conn2] received client metadata from 127.0.0.1:64694 conn2: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:04:47.208+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27004
2018-02-28T14:04:47.209+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to 127.0.0.1:27004, took 1ms (1 connections now open to 127.0.0.1:27004)
2018-02-28T14:04:49.216+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64700 #3 (2 connections now open)
2018-02-28T14:04:49.216+0800 I -        [conn3] end connection 127.0.0.1:64700 (2 connections now open)
2018-02-28T14:04:49.327+0800 I REPL     [replExecDBWorker-0] Starting replication storage threads
2018-02-28T14:04:49.490+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64701 #4 (2 connections now open)
2018-02-28T14:04:49.490+0800 I NETWORK  [conn4] received client metadata from 127.0.0.1:64701 conn4: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:04:49.490+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27005
2018-02-28T14:04:49.491+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to 127.0.0.1:27005, took 1ms (1 connections now open to 127.0.0.1:27005)
2018-02-28T14:04:49.523+0800 I REPL     [replication-0] Starting initial sync (attempt 1 of 10)
2018-02-28T14:04:49.523+0800 I REPL     [ReplicationExecutor] New replica set config in use: { _id: "set2", version: 1, protocolVersion: 1, members: [ { _id: 1, host: "127.0.0.1:27004", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "127.0.0.1:27005", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 3, host: "127.0.0.1:27006", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatIntervalMillis: 2000, heartbeatTimeoutSecs: 10, electionTimeoutMillis: 10000, catchUpTimeoutMillis: 60000, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 }, replicaSetId: ObjectId('5a96467f437d9057b78a7f9f') } }
2018-02-28T14:04:49.524+0800 I REPL     [ReplicationExecutor] This node is 127.0.0.1:27006 in the config
2018-02-28T14:04:49.524+0800 I REPL     [ReplicationExecutor] transition to STARTUP2
2018-02-28T14:04:49.524+0800 I REPL     [ReplicationExecutor] Member 127.0.0.1:27004 is now in state SECONDARY
2018-02-28T14:04:49.524+0800 I REPL     [ReplicationExecutor] Member 127.0.0.1:27005 is now in state STARTUP2
2018-02-28T14:04:49.620+0800 I REPL     [replication-0] sync source candidate: 127.0.0.1:27004
2018-02-28T14:04:49.620+0800 I STORAGE  [replication-0] dropAllDatabasesExceptLocal 1
2018-02-28T14:04:49.620+0800 I REPL     [replication-0] ******
2018-02-28T14:04:49.620+0800 I REPL     [replication-0] creating replication oplog of size: 192MB...
2018-02-28T14:04:49.662+0800 I STORAGE  [replication-0] Starting WiredTigerRecordStoreThread local.oplog.rs
